PlayerName,Team,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G60,A60,FirstA60,Points60,Shots60,iFenwick60,iCorsi60,IGP,IAP,IPP,Year,Position,Situation
"KILGER, CHAD",Toronto,526:16:00,9,7,5,16,66,103,121,13.64,1.026,0.798,0.57,1.82,7.52,11.743,13.795,39.1,30.4,69.6,2007,Forward,5v5
"ARMSTRONG, COLBY",Winnipeg,855:35:00,11,15,8,26,93,128,150,11.83,0.771,1.052,0.561,1.82,6.52,8.976,10.519,30.6,41.7,72.2,2007,Forward,5v5
"OUELLET, MICHEL",Tampa Bay,724:15:00,10,12,9,22,108,157,191,9.26,0.828,0.994,0.746,1.82,8.95,13.007,15.823,31.2,37.5,68.7,2007,Forward,5v5
"HAGMAN, NIKLAS",Dallas,857:33:00,17,9,6,26,122,161,195,13.93,1.189,0.63,0.42,1.82,8.54,11.265,13.643,48.6,25.7,74.3,2007,Forward,5v5
"KOSTITSYN, SERGEI",Montreal,594:10:00,5,13,9,18,35,48,68,14.29,0.505,1.313,0.909,1.82,3.53,4.847,6.867,17.2,44.8,62.1,2007,Forward,5v5
"BROWN, CURTIS",San Jose,264:37:00,5,3,2,8,31,39,50,16.13,1.134,0.68,0.454,1.81,7.03,8.843,11.337,38.5,23.1,61.5,2007,Forward,5v5
"DOAN, SHANE",Phoenix,1099:14:00,14,19,13,33,151,192,247,9.27,0.764,1.037,0.71,1.8,8.24,10.48,13.482,30.4,41.3,71.7,2007,Forward,5v5
"STURM, MARCO",Boston,934:13:00,14,14,8,28,160,209,244,8.75,0.899,0.899,0.514,1.8,10.28,13.423,15.671,38.9,38.9,77.8,2007,Forward,5v5
"SEMIN, ALEXANDER",Washington,735:53:00,16,6,3,22,119,182,240,13.45,1.305,0.489,0.245,1.79,9.7,14.839,19.568,57.1,21.4,78.6,2007,Forward,5v5
"PYATT, TAYLOR",Vancouver,872:51:00,7,19,11,26,112,146,174,6.25,0.481,1.306,0.756,1.79,7.7,10.036,11.961,18.4,50,68.4,2007,Forward,5v5
"PONIKAROVSKY, ALEXEI",Toronto,807:31:00,13,11,6,24,115,173,225,11.3,0.966,0.817,0.446,1.78,8.54,12.854,16.718,32.5,27.5,60,2007,Forward,5v5
"BOUCHARD, PIERRE-MARC",Minnesota,981:17:00,5,24,17,29,81,112,157,6.17,0.306,1.468,1.04,1.77,4.95,6.848,9.6,13.2,63.2,76.3,2007,Forward,5v5
"KUNITZ, CHRIS",Anaheim,947:58:00,11,17,14,28,126,171,212,8.73,0.696,1.076,0.886,1.77,7.97,10.823,13.418,30.6,47.2,77.8,2007,Forward,5v5
"BOYD, DUSTIN",Calgary,406:26:00,7,5,4,12,37,50,66,18.92,1.033,0.738,0.591,1.77,5.46,7.381,9.743,50,35.7,85.7,2007,Forward,5v5
"NYLANDER, MICHAEL",Washington,512:04:00,4,11,6,15,41,50,63,9.76,0.469,1.289,0.703,1.76,4.8,5.859,7.382,20,55,75,2007,Forward,5v5
"SAKIC, JOE",Colorado,581:39:00,6,11,7,17,62,81,108,9.68,0.619,1.135,0.722,1.75,6.4,8.355,11.141,21.4,39.3,60.7,2007,Forward,5v5
